glottocode	family
miam1252	Algic [algi1248]
cent2136	Algic [algi1248]
chip1241	Algic [algi1248]
east2542	Algic [algi1248]
nort2961	Algic [algi1248]
west1510	Algic [algi1248]
otta1242	Algic [algi1248]
algo1255	Algic [algi1248]
seve1240	Algic [algi1248]
pota1247	Algic [algi1248]
shaw1249	Algic [algi1248]
meno1252	Algic [algi1248]
siks1238	Algic [algi1248]
wiyo1248	Algic [algi1248]
yuro1248	Algic [algi1248]
alse1251	None
amto1250	Amto-Musan [amto1249]
siaw1243	Amto-Musan [amto1249]
anda1286	None
ando1256	None
anem1249	None
anga1290	Angan [anga1289]
baru1267	Angan [anga1289]
simb1255	Angan [anga1289]
hamt1247	Angan [anga1289]
meny1245	Angan [anga1289]
kama1360	Angan [anga1289]
susu1251	Angan [anga1289]
kawa1276	Angan [anga1289]
safe1240	Angan [anga1289]
anka1246	Angan [anga1289]
akoy1238	Angan [anga1289]
tain1253	Angan [anga1289]
yagw1240	Angan [anga1289]
ipik1244	Anim [anim1240]
hoia1235	Anim [anim1240]
hoya1235	Anim [anim1240]
mahi1249	Anim [anim1240]
mina1274	Anim [anim1240]
muba1238	Anim [anim1240]
kuni1265	Anim [anim1240]
zima1244	Anim [anim1240]
bian1251	Anim [anim1240]
nucl1622	Anim [anim1240]
wark1247	Anim [anim1240]
yaqa1246	Anim [anim1240]
abom1238	Anim [anim1240]
bara1378	Anim [anim1240]
bitu1242	Anim [anim1240]
maka1315	Anim [anim1240]
were1244	Anim [anim1240]
anda1283	Arafundi [araf1243]
awia1234	Arafundi [araf1243]
nanu1240	Arafundi [araf1243]
tape1242	Arafundi [araf1243]
meak1234	Arafundi [araf1243]
huil1244	Araucanian [arau1255]
mapu1245	Araucanian [arau1255]
maip1247	Arawakan [araw1281]
guar1293	Arawakan [araw1281]
yavi1244	Arawakan [araw1281]
bare1276	Arawakan [araw1281]
guin1258	Arawakan [araw1281]
anau1243	Arawakan [araw1281]
yaba1249	Arawakan [araw1281]
araw1276	Arawakan [araw1281]
gari1256	Arawakan [araw1281]
isla1278	Arawakan [araw1281]
mara1409	Arawakan [araw1281]
tain1254	Arawakan [araw1281]
arub1238	Arawakan [araw1281]
para1316	Arawakan [araw1281]
wayu1243	Arawakan [araw1281]
arai1239	Arawakan [araw1281]
uiri1238	Arawakan [araw1281]
enaw1238	Arawakan [araw1281]
pare1272	Arawakan [araw1281]
sara1331	Arawakan [araw1281]
kust1238	Arawakan [araw1281]
mehi1240	Arawakan [araw1281]
waur1244	Arawakan [araw1281]
yawa1261	Arawakan [araw1281]
pali1279	Arawakan [araw1281]
juma1250	Arawakan [araw1281]
pass1250	Arawakan [araw1281]
kais1242	Arawakan [araw1281]
mepu1234	Arawakan [araw1281]
bani1255	Arawakan [araw1281]
curr1243	Arawakan [araw1281]
tari1256	Arawakan [araw1281]
cabi1241	Arawakan [araw1281]
acha1250	Arawakan [araw1281]
piap1246	Arawakan [araw1281]
mand1448	Arawakan [araw1281]
ware1255	Arawakan [araw1281]
resi1247	Arawakan [araw1281]
uain1239	Arawakan [araw1281]
yucu1253	Arawakan [araw1281]
arua1264	Arawakan [araw1281]
cari1280	Arawakan [araw1281]
mana1299	Arawakan [araw1281]
xiri1243	Arawakan [araw1281]
mapi1252	Arawakan [araw1281]
aroa1234	Arawakan [araw1281]
para1324	Arawakan [araw1281]
sheb1234	Arawakan [araw1281]
ator1244	Arawakan [araw1281]
wapi1253	Arawakan [araw1281]
baur1253	Arawakan [araw1281]
igna1246	Arawakan [araw1281]
trin1274	Arawakan [araw1281]
paun1241	Arawakan [araw1281]
tere1279	Arawakan [araw1281]
apol1242	Arawakan [araw1281]
magi1242	Arawakan [araw1281]
asha1243	Arawakan [araw1281]
ajyi1238	Arawakan [araw1281]
ashe1272	Arawakan [araw1281]
pich1237	Arawakan [araw1281]
ucay1237	Arawakan [araw1281]
ashe1273	Arawakan [araw1281]
sout3127	Arawakan [araw1281]
caqu1242	Arawakan [araw1281]
mach1267	Arawakan [araw1281]
nant1250	Arawakan [araw1281]
noma1263	Arawakan [araw1281]
yane1238	Arawakan [araw1281]
cham1318	Arawakan [araw1281]
mori1273	Arawakan [araw1281]
apur1254	Arawakan [araw1281]
inap1242	Arawakan [araw1281]
cara1273	Arawakan [araw1281]
mach1268	Arawakan [araw1281]
mash1270	Arawakan [araw1281]
yine1238	Arawakan [araw1281]
arua1263	Arawan [araw1282]
jama1261	Arawan [araw1282]
culi1244	Arawan [araw1282]
deni1241	Arawan [araw1282]
paum1247	Arawan [araw1282]
suru1263	Arawan [araw1282]
afri1275	Artificial Language [arti1236]
bala1318	Artificial Language [arti1236]
blis1239	Artificial Language [arti1236]
brit1244	Artificial Language [arti1236]
dutt1234	Artificial Language [arti1236]
efat1235	Artificial Language [arti1236]
eska1234	Artificial Language [arti1236]
espe1235	Artificial Language [arti1236]
idoo1234	Artificial Language [arti1236]
inte1239	Artificial Language [arti1236]
inte1260	Artificial Language [arti1236]
inte1261	Artificial Language [arti1236]
inte1262	Artificial Language [arti1236]
inte1263	Artificial Language [arti1236]
klin1234	Artificial Language [arti1236]
kota1280	Artificial Language [arti1236]
laad1235	Artificial Language [arti1236]
lada1245	Artificial Language [arti1236]
ling1267	Artificial Language [arti1236]
lojb1234	Artificial Language [arti1236]
neoa1234	Artificial Language [arti1236]
nkoa1234	Artificial Language [arti1236]
novi1234	Artificial Language [arti1236]
pala1356	Artificial Language [arti1236]
quen1234	Artificial Language [arti1236]
renn1236	Artificial Language [arti1236]
roma1338	Artificial Language [arti1236]
sind1281	Artificial Language [arti1236]
talo1253	Artificial Language [arti1236]
toki1239	Artificial Language [arti1236]
vola1234	Artificial Language [arti1236]
arut1244	None
atac1235	None
atak1252	None
kiow1264	Athabaskan-Eyak-Tlingit [atha1245]
jica1244	Athabaskan-Eyak-Tlingit [atha1245]
lipa1241	Athabaskan-Eyak-Tlingit [atha1245]
mesc1238	Athabaskan-Eyak-Tlingit [atha1245]
nava1243	Athabaskan-Eyak-Tlingit [atha1245]
west2615	Athabaskan-Eyak-Tlingit [atha1245]
babi1235	Athabaskan-Eyak-Tlingit [atha1245]
carr1249	Athabaskan-Eyak-Tlingit [atha1245]
sout2958	Athabaskan-Eyak-Tlingit [atha1245]
chil1280	Athabaskan-Eyak-Tlingit [atha1245]
gwic1235	Athabaskan-Eyak-Tlingit [atha1245]
hann1241	Athabaskan-Eyak-Tlingit [atha1245]
dege1248	Athabaskan-Eyak-Tlingit [atha1245]
holi1241	Athabaskan-Eyak-Tlingit [atha1245]
koyu1237	Athabaskan-Eyak-Tlingit [atha1245]
lowe1425	Athabaskan-Eyak-Tlingit [atha1245]
uppe1438	Athabaskan-Eyak-Tlingit [atha1245]
tana1290	Athabaskan-Eyak-Tlingit [atha1245]
uppe1437	Athabaskan-Eyak-Tlingit [atha1245]
nort2941	Athabaskan-Eyak-Tlingit [atha1245]
sout2957	Athabaskan-Eyak-Tlingit [atha1245]
chip1261	Athabaskan-Eyak-Tlingit [atha1245]
beav1236	Athabaskan-Eyak-Tlingit [atha1245]
seka1250	Athabaskan-Eyak-Tlingit [atha1245]
kask1239	Athabaskan-Eyak-Tlingit [atha1245]
tagi1240	Athabaskan-Eyak-Tlingit [atha1245]
tahl1239	Athabaskan-Eyak-Tlingit [atha1245]
dogr1252	Athabaskan-Eyak-Tlingit [atha1245]
nort2942	Athabaskan-Eyak-Tlingit [atha1245]
sout2959	Athabaskan-Eyak-Tlingit [atha1245]
hupa1239	Athabaskan-Eyak-Tlingit [atha1245]
kato1244	Athabaskan-Eyak-Tlingit [atha1245]
matt1238	Athabaskan-Eyak-Tlingit [atha1245]
wail1244	Athabaskan-Eyak-Tlingit [atha1245]
kwal1258	Athabaskan-Eyak-Tlingit [atha1245]
coqu1236	Athabaskan-Eyak-Tlingit [atha1245]
gali1261	Athabaskan-Eyak-Tlingit [atha1245]
tutu1242	Athabaskan-Eyak-Tlingit [atha1245]
tolo1259	Athabaskan-Eyak-Tlingit [atha1245]
uppe1436	Athabaskan-Eyak-Tlingit [atha1245]
sars1236	Athabaskan-Eyak-Tlingit [atha1245]
ahte1237	Athabaskan-Eyak-Tlingit [atha1245]
tana1289	Athabaskan-Eyak-Tlingit [atha1245]
tset1236	Athabaskan-Eyak-Tlingit [atha1245]
eyak1241	Athabaskan-Eyak-Tlingit [atha1245]
tlin1245	Athabaskan-Eyak-Tlingit [atha1245]
gola1255	Atlantic-Congo [atla1278]
east2387	Atlantic-Congo [atla1278]
west2450	Atlantic-Congo [atla1278]
mans1259	Atlantic-Congo [atla1278]
bomk1234	Atlantic-Congo [atla1278]
bull1247	Atlantic-Congo [atla1278]
sher1258	Atlantic-Congo [atla1278]
nort2765	Atlantic-Congo [atla1278]
sout2778	Atlantic-Congo [atla1278]
baga1270	Atlantic-Congo [atla1278]
baga1272	Atlantic-Congo [atla1278]
baga1273	Atlantic-Congo [atla1278]
land1256	Atlantic-Congo [atla1278]
timn1235	Atlantic-Congo [atla1278]
ndut1239	Atlantic-Congo [atla1278]
palo1243	Atlantic-Congo [atla1278]
leha1242	Atlantic-Congo [atla1278]
noon1242	Atlantic-Congo [atla1278]
saaf1238	Atlantic-Congo [atla1278]
bala1301	Atlantic-Congo [atla1278]
bala1302	Atlantic-Congo [atla1278]
aram1260	Atlantic-Congo [atla1278]
bayo1255	Atlantic-Congo [atla1278]
jola1262	Atlantic-Congo [atla1278]
ejam1238	Atlantic-Congo [atla1278]
kera1248	Atlantic-Congo [atla1278]
karo1294	Atlantic-Congo [atla1278]
mlom1238	Atlantic-Congo [atla1278]
kuwa1246	Atlantic-Congo [atla1278]
band1340	Atlantic-Congo [atla1278]
gusi1246	Atlantic-Congo [atla1278]
jola1263	Atlantic-Congo [atla1278]
mand1419	Atlantic-Congo [atla1278]
pape1239	Atlantic-Congo [atla1278]
mank1251	Atlantic-Congo [atla1278]
bidy1244	Atlantic-Congo [atla1278]
kamo1256	Atlantic-Congo [atla1278]
bady1239	Atlantic-Congo [atla1278]
biaf1240	Atlantic-Congo [atla1278]
baga1275	Atlantic-Congo [atla1278]
mbul1258	Atlantic-Congo [atla1278]
